,Title,Price,Condition,Shipping,Item URL
0,Neumann U 87 Ai mt Large Diaphragm Multi...,"$1,992",Used – Good,Shipping Fees Apply,https://reverb.com/item/74210508-neumann-u-87-ai-mt-large-diaphragm-multipattern-condenser-microphone-1986-present-matte-black
1,"REVERB BUMP
Neumann U87Ai Multi-Pattern ...","$3,500",Brand New,Shipping Fees Apply,https://reverb.com/item/2612471-neumann-u87ai-multi-pattern-studio-condenser-microphone-nickel?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiIwMzMwODVkZC0zZDMxLTQzYzUtYWNjOS0wNGY0MDE1NmI5ODgiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjI2MTI0NzEiLCJzb3VyY2UiOiJOT05FIn0.uPN8nqCwDxaeT57EDXAe-65huIHAl4sZgCU5ig4Nm6s
2,"REVERB BUMP
Neumann U 87 (50th Anniversa...","$4,000",Used – Very Good,Free Shipping,https://reverb.com/item/74106092-neumann-u-87-50th-anniversary-edition-large-diaphragm-multipattern-condenser-microphone?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiJiODg2OGFlYi04YmNkLTRiMWItYjUyNC01MGQ3YTMzYTY5OGYiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6Ijc0MTA2MDkyIiwic291cmNlIjoiTk9ORSJ9.hz1Pe3rqfUUbi2heW535RF-xblun42SIuutp94NXKrY
3,"Vintage Neumann U87 K87 Capsule 1993
Use...",$525,Used – Good,Shipping Fees Apply,https://reverb.com/item/72969979-vintage-neumann-u87-k87-capsule-1993
4,Neumann U 87 (50th Anniversary Edition) ...,"$4,000",Used – Very Good,Free Shipping,https://reverb.com/item/74106092-neumann-u-87-50th-anniversary-edition-large-diaphragm-multipattern-condenser-microphone
5,Neumann U87 Vintage Microphone 1978 - Cl...,"$4,299.99",Used – Very Good,Shipping Fees Apply,https://reverb.com/item/74050258-neumann-u87-vintage-microphone-1978-classic
6,"Neumann U 87 RhodiumEdition MINT
Used – ...","$4,600",Used – Mint,Free Shipping,https://reverb.com/item/74250956-neumann-u-87-rhodiumedition-mint
7,Neumann U 87ai - Nickel - Rycote shockmo...,"$2,625.47",Used – Mint,Free Shipping,https://reverb.com/item/72641837-neumann-u-87ai-nickel-rycote-shockmount
8,"REVERB BUMP
Neumann U 87ai - Nickel - Ry...","$2,625.47",Used – Mint,Free Shipping,https://reverb.com/item/72641837-neumann-u-87ai-nickel-rycote-shockmount?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiJjMDQ4MDEyMy1lYjJhLTRhNzYtYjJkOC1mZWU0N2QyMTU0MjEiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6IjcyNjQxODM3Iiwic291cmNlIjoiTk9ORSJ9.c42ArVKv9E0DIQrHpm8FI8MwdCwSXFT5USYZtsJM1ic
9,"REVERB BUMP
Neumann U 87 Ai Set Z with S...","$2,349",Used – Mint,Shipping Fees Apply,https://reverb.com/item/74052844-neumann-u-87-ai-set-z-with-shockmount-present-nickel?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI2NTVhNTI2Mi0yMzU4LTRjZTktOWUwNC0xYTNhMzhmYWJlOTUiLCJpYXQiOjE2OTY1NzY0NDIsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiNzNkOTE3ZDktM2M1Yy00ZTFiLWFhZGEtZDllMDBmNDg2MWY4IiwicHJvZHVjdF9pZCI6Ijc0MDUyODQ0Iiwic291cmNlIjoiTk9ORSJ9.uq5RrUccWgU8vL0osEoZ8e-O4CXbJEkhf0YRgDQ3ZRs
