,Title,Price,Condition,Shipping,Item URL
0,Excellent Neumann U 87 Ai,"$2,340 ",Used – Excellent,Free Shipping,https://reverb.com/item/73099994-excellent-neumann-u-87-ai
1,Neumann U 87 Ai Large Diaphragm Multipat...,"$2,400 ",Used – Mint,Free Shipping,https://reverb.com/item/70906768-neumann-u-87-ai-large-diaphragm-multipattern-condenser-microphone-1986-present-nickel?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiJhNWE3MThlMS05Yjk3LTQ4ZjUtOGZlMy0zMTJjY2ZjMDdlNGYiLCJpYXQiOjE2OTM5NTY3NzUsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiODc4MmY4MmUtY2E0Mi00ODNkLWE0OTQtMmZkMTk2OWYxNTU0IiwicHJvZHVjdF9pZCI6IjcwOTA2NzY4Iiwic291cmNlIjoiTk9ORSJ9.lfgZ_JPdoBraXWhmSFmUBW26TOBG4u7hNbDJefswIZI
2,Neumann U 87 Ai Set with Shockmount 1986...,"$2,950 ",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/73010302-neumann-u-87-ai-set-with-shockmount-1986-present-nickel-recently-serviced?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiI4N2EyNDFmZC1hYzg3LTQ1Y2ItYjdlMi0xZjQxNTU4OTdjMGYiLCJpYXQiOjE2OTM5NTY3NzUsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiODc4MmY4MmUtY2E0Mi00ODNkLWE0OTQtMmZkMTk2OWYxNTU0IiwicHJvZHVjdF9pZCI6IjczMDEwMzAyIiwic291cmNlIjoiTk9ORSJ9.wpt2_8IsJy516QgMdFpnTcAN17YI-eVUU-mkBrpbxgw
3,Neumann U 87 Ai Set with Shockmount 1986...,"$2,950 ",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/73010302-neumann-u-87-ai-set-with-shockmount-1986-present-nickel-recently-serviced
4,Neumann U 87 Ai Owned by Portugal. The Man,"$2,760 ",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/72472004-neumann-u-87-ai-owned-by-portugal-the-man
5,Neumann U 87 Ai Large Diaphragm Multipat...,"$2,450 ",Used – Mint,Free Shipping,https://reverb.com/item/73114313-neumann-u-87-ai-large-diaphragm-multipattern-condenser-microphone-1986-present-nickel
6,Neumann U 87 Ai Large Diaphragm Multipat...,"$1,941 ",Used – Very Good,Free Shipping,https://reverb.com/item/73022859-neumann-u-87-ai-large-diaphragm-multipattern-condenser-microphone-1986-present-nickel
7,Vintage Neumann U 87 - 1976,"$4,390.94 ",Used – Excellent,Shipping Fees Apply,https://reverb.com/item/72916758-vintage-neumann-u-87-1976
8,Neumann U 87 Ai Set-Nickel,"$2,800 ",Used – Mint,Shipping Fees Apply,https://reverb.com/item/72821384-neumann-u-87-ai-set-nickel?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiJjZGZhY2ZlMy0xNjE5LTQwMTEtOWY2MC0xYzU3OWFiZTgxYzEiLCJpYXQiOjE2OTM5NTY3NzUsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiODc4MmY4MmUtY2E0Mi00ODNkLWE0OTQtMmZkMTk2OWYxNTU0IiwicHJvZHVjdF9pZCI6IjcyODIxMzg0Iiwic291cmNlIjoiTk9ORSJ9.H-8_zcblB6TlHPZRNhuoraYcL4-6Nu8FmPQ3ZWtjPJE
9,Neumann U 87 Ai Set Large-Diaphragm Cond...,"$3,500 ",Brand New,Free Shipping,https://reverb.com/item/38159224-neumann-u-87-ai-set-large-diaphragm-condenser-microphone-nickel?bk=eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiJjYTg1ZjUwMy01NWQ1LTQ4ZGMtYTE2Ni02NWVmYjVhOWIwYmIiLCJpYXQiOjE2OTM5NTY3NzUsInVzZXJfaWQiOiIiLCJzZXNzaW9uX2lkIjoiIiwiY29va2llX2lkIjoiODc4MmY4MmUtY2E0Mi00ODNkLWE0OTQtMmZkMTk2OWYxNTU0IiwicHJvZHVjdF9pZCI6IjM4MTU5MjI0Iiwic291cmNlIjoiTk9ORSJ9.QUNb-A3ycuzTT5ZCnMb1fzd1SJJB4eRpjVAlOWFvlRM
